weight_g,screen_inches,announced_year,main_camera_mp,ram_gb,storage_gb,battery_mah,has_nfc,has_5g,wlan_dual_band,has_gps,card_slot,brand_price_tier,price_range
183.0,6.6,2020.0,8.0,3.0,64.0,5000.0,0,0,1,1,1,195.82331985438802,0
209.0,6.82,2020.0,8.0,4.0,64.0,6000.0,0,0,1,1,1,190.35862349737042,0
206.0,6.95,2020.0,16.0,6.0,128.0,5000.0,0,0,1,1,1,190.35862349737042,1
185.0,6.6,2020.0,8.0,4.0,128.0,5000.0,0,0,1,1,1,198.76019562853415,2
185.0,6.6,2020.0,8.0,4.0,64.0,5000.0,0,0,0,1,1,198.76019562853415,0
185.0,6.6,2020.0,8.0,4.0,128.0,5000.0,0,0,1,1,1,218.8466477961433,1
195.0,6.53,2020.0,16.0,6.0,128.0,4000.0,0,0,1,1,1,218.8466477961433,0
178.0,6.6,2019.0,16.0,4.0,64.0,4000.0,0,0,0,1,1,218.8466477961433,0
178.0,6.6,2019.0,32.0,6.0,128.0,4000.0,0,0,0,1,1,218.8466477961433,0
179.0,6.52,2019.0,8.0,4.0,64.0,5000.0,0,0,1,1,1,190.35862349737042,1
173.0,6.01,2019.0,16.0,4.0,64.0,4000.0,0,0,1,1,1,218.8466477961433,1
148.0,6.21,2019.0,8.0,3.0,32.0,3500.0,0,0,0,1,1,198.76019562853415,0
166.0,6.2,2019.0,8.0,4.0,64.0,4000.0,0,0,0,1,1,218.8466477961433,0
173.0,6.0,2018.0,12.0,4.0,64.0,4500.0,0,0,0,1,1,190.35862349737042,0
151.0,6.0,2020.0,8.0,8.0,128.0,4080.0,1,1,1,1,0,311.3746892318911,3
168.0,6.2,2020.0,8.0,6.0,128.0,3885.0,1,1,1,1,0,325.81498230888434,3
143.0,5.81,2020.0,12.2,6.0,128.0,3140.0,1,0,1,1,0,330.3025745759026,3
167.0,6.0,2019.0,12.2,4.0,64.0,3700.0,1,0,1,1,0,342.68200687894995,0
147.0,5.6,2019.0,12.2,4.0,64.0,3000.0,1,0,1,1,0,325.81498230888434,2
184.0,6.3,2018.0,12.2,4.0,128.0,3430.0,1,0,1,1,0,342.68200687894995,3
148.0,5.5,2018.0,12.2,4.0,128.0,2915.0,1,0,1,1,0,311.3746892318911,2
143.0,5.0,2017.0,12.2,4.0,128.0,2700.0,1,0,1,1,0,310.91271760789715,3
175.0,6.0,2017.0,12.2,4.0,128.0,3520.0,1,0,1,1,0,330.3025745759026,3
168.0,5.5,2016.0,12.3,4.0,128.0,3450.0,1,0,1,1,0,324.6527176078972,3
143.0,5.0,2016.0,12.3,4.0,128.0,2770.0,1,0,1,1,0,325.81498230888434,2
145.0,5.9,2019.0,8.0,3.0,32.0,3400.0,0,0,0,1,1,187.27551033057856,1
160.0,5.67,2019.0,13.0,2.0,16.0,2920.0,0,0,0,1,1,193.4469389020071,1
134.0,5.0,2018.0,5.0,1.0,8.0,2000.0,0,0,0,1,1,205.85187983906047,0
153.0,5.7,2018.0,16.0,3.0,32.0,3100.0,1,0,0,1,1,187.5993507700977,0
145.0,5.5,2018.0,13.0,2.0,16.0,2900.0,1,0,0,1,1,193.4469389020071,0
155.0,5.34,2018.0,8.0,1.0,16.0,2460.0,1,0,0,1,1,184.11607153925624,0
169.0,5.0,2017.0,5.0,1.0,8.0,2200.0,1,0,0,1,1,205.85187983906047,0
166.0,5.5,2017.0,16.0,3.0,32.0,3000.0,1,0,0,1,1,184.11607153925624,2
151.0,5.0,2017.0,13.0,1.5,16.0,2400.0,1,0,0,1,1,205.85187983906047,0
167.9,5.0,2016.0,5.0,1.0,8.0,2000.0,0,0,0,1,1,193.4469389020071,0
150.0,5.5,2016.0,13.0,2.0,16.0,2960.0,0,0,1,1,1,187.5993507700977,1
155.0,5.5,2016.0,16.0,3.0,32.0,3000.0,1,0,1,1,1,184.11607153925624,3
128.0,5.0,2016.0,8.0,1.0,8.0,2540.0,1,0,0,1,1,187.4254659540065,0
146.0,4.5,2015.0,5.0,1.0,8.0,1780.0,0,0,0,1,1,205.85187983906047,0
159.0,5.5,2015.0,13.0,2.0,16.0,3000.0,0,0,0,1,1,187.27551033057856,1
155.0,5.0,2015.0,8.0,1.0,8.0,2500.0,0,0,0,1,1,184.11607153925624,0
155.0,4.5,2014.0,5.0,1.0,4.0,1880.0,1,0,0,1,1,187.27551033057856,0
162.0,5.0,2014.0,5.0,1.0,4.0,3000.0,1,0,0,1,1,205.85187983906047,1
166.0,6.39,2019.0,8.0,4.0,128.0,3400.0,1,0,1,1,1,247.34661668116573,3
214.0,6.85,2019.0,5.0,3.0,32.0,5000.0,0,0,0,1,1,247.34661668116573,1
